"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
EDU_NUCE,dbo,_DM_XepLoaiTotNghiep,BASE TABLE
EDU_NUCE,dbo,ES_MonHocTuongDuong,BASE TABLE
EDU_NUCE,dbo,DT_NC_XetTotNghiep,BASE TABLE
EDU_NUCE,dbo,DT_CustomInput,BASE TABLE
EDU_NUCE,dbo,DT_KetNoiDoiTac,BASE TABLE
EDU_NUCE,dbo,TKB_KhoaMoKhoaChamCong,BASE TABLE
EDU_NUCE,dbo,ES_ChamThiTracNghiem,BASE TABLE
EDU_NUCE,dbo,DM_TrangThaiLopHocPhan,BASE TABLE
EDU_NUCE,dbo,DD_LichHocSinhVien_TMP,BASE TABLE
EDU_NUCE,dbo,TS_ThiSinhOnlineDoiTuongTuyenThang,BASE TABLE
EDU_NUCE,dbo,EX_MediaCauHoiMapping,BASE TABLE
EDU_NUCE,dbo,KT_SoThuHocPhi_TuDo,BASE TABLE
EDU_NUCE,dbo,DM_TemplateKhungHocKy,BASE TABLE
EDU_NUCE,dbo,HT_Field,BASE TABLE
EDU_NUCE,dbo,DCMH_DM_PhuongPhapDay,BASE TABLE
EDU_NUCE,dbo,API_LichHoc_TempTableImport,BASE TABLE
EDU_NUCE,dbo,DT_XTN_ChiTietNoMon,BASE TABLE
EDU_NUCE,dbo,EX_EXT_XuLyViPhamQuyCheThi,BASE TABLE
EDU_NUCE,dbo,DM_TC_DinhNghiaTrongSoDiem,BASE TABLE
EDU_NUCE,dbo,KTX_DM_ThietBi,BASE TABLE
EDU_NUCE,dbo,DM_QuyDinhKhoaNganh,BASE TABLE
EDU_NUCE,dbo,KT_DonGiaCoiThiChamThi,BASE TABLE
EDU_NUCE,dbo,KT_LOCK_PhieuThuTheoNgay,BASE TABLE
EDU_NUCE,dbo,ACL_ChucNangHT,BASE TABLE
EDU_NUCE,dbo,HT_ImportLog,BASE TABLE
EDU_NUCE,dbo,DT_NC_XetTotNghiepChinhTri,BASE TABLE
EDU_NUCE,dbo,DT_XetCapChungChiSinhVien,BASE TABLE
EDU_NUCE,dbo,EGOV_CongVanDiFileAttachBoSung,BASE TABLE
EDU_NUCE,dbo,TKB_KhoaSuDungPhong,BASE TABLE
EDU_NUCE,dbo,EX_BoCauHoi,BASE TABLE
EDU_NUCE,dbo,DM_CauHinhXetHocBongDanhHieu,BASE TABLE
EDU_NUCE,dbo,CC_SoThuDangKyThiChungChiTinHoc,BASE TABLE
EDU_NUCE,dbo,NK_SYN_API_CRM,BASE TABLE
EDU_NUCE,dbo,DT_DD_NoiDungBaiGiang,BASE TABLE
EDU_NUCE,dbo,HT_GridForm,BASE TABLE
EDU_NUCE,dbo,DTBD_TKB_LichHocGiangVien,BASE TABLE
EDU_NUCE,dbo,QuyDoiDiemTinChiIUH,BASE TABLE
EDU_NUCE,dbo,API_LichThi_TempTableImport,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_OffSetting,BASE TABLE
EDU_NUCE,dbo,EX_ResetHistory,BASE TABLE
EDU_NUCE,dbo,TKB_LopHoc,BASE TABLE
EDU_NUCE,dbo,DM_Temp,BASE TABLE
EDU_NUCE,dbo,KT_GiaHanNguoiDung,BASE TABLE
EDU_NUCE,dbo,DCMH_DotBienSoan,BASE TABLE
EDU_NUCE,dbo,DT_NhanXetDiemDanh,BASE TABLE
EDU_NUCE,dbo,EX_ThangDiemNhaTruong,BASE TABLE
EDU_NUCE,dbo,DA_KhachHang_HDDT,BASE TABLE
EDU_NUCE,dbo,TKB_LichHoc_LichSuThayDoiNgayHoc,BASE TABLE
EDU_NUCE,dbo,EX_CauHoi,BASE TABLE
EDU_NUCE,dbo,DM_DieuKienTimKiem,BASE TABLE
EDU_NUCE,dbo,TKB_CC_QuyDoiGioThi,BASE TABLE
EDU_NUCE,dbo,DM_DanhMucChucNangCauHinhCotHienThi,BASE TABLE
EDU_NUCE,dbo,KTX_DM_XepLoaiThiDua,BASE TABLE
EDU_NUCE,dbo,TS_DM_ThoiGianTiepNhanHoSo,BASE TABLE
EDU_NUCE,dbo,_DM_HocLucThiSinh,BASE TABLE
EDU_NUCE,dbo,DT_DD_NoiDungBaiGiang_ChiTietSinhVienVang,BASE TABLE
EDU_NUCE,dbo,DM_TC_XepLoaiTotNghiep,BASE TABLE
EDU_NUCE,dbo,DT_DS_MonHocKhongThamGiaKetQuaTinh,BASE TABLE
EDU_NUCE,dbo,HT_HeThong,BASE TABLE
EDU_NUCE,dbo,TS_ThiSinhOnlineChiTietKhaoSat,BASE TABLE
EDU_NUCE,dbo,OP_SoThuTrucTuyen,BASE TABLE
EDU_NUCE,dbo,KTX_DM_GiuongHanCheSuDung,BASE TABLE
EDU_NUCE,dbo,API_NamHocHocKy_TempTableImport,BASE TABLE
EDU_NUCE,dbo,DM_ThiTotNghiepMonVanHoa,BASE TABLE
EDU_NUCE,dbo,Province,BASE TABLE
EDU_NUCE,dbo,CC_SoThuThiXepLop,BASE TABLE
EDU_NUCE,dbo,KT_HoSoMienGiamChiTiet,BASE TABLE
EDU_NUCE,dbo,DTBD_TKB_LichThi,BASE TABLE
EDU_NUCE,dbo,TKB_CC_HeSoKhoaGiangVien,BASE TABLE
EDU_NUCE,dbo,DM_ChiTietChuyenNganhDuocDangKy,BASE TABLE
EDU_NUCE,dbo,DT_PhieuToDiem,BASE TABLE
EDU_NUCE,dbo,TKB_CC_HeSoThucHanh,BASE TABLE
EDU_NUCE,dbo,DT_HopDong_ChiTietTruong,BASE TABLE
EDU_NUCE,dbo,EX_CauTraLoi,BASE TABLE
EDU_NUCE,dbo,DM_ThoiHanHocTap,BASE TABLE
EDU_NUCE,dbo,EX_LoaiDoKho,BASE TABLE
EDU_NUCE,dbo,DM_CauHinhInBangDiem,BASE TABLE
EDU_NUCE,dbo,DT_QuanLyMonVanHoa,BASE TABLE
EDU_NUCE,dbo,DT_XuLyViPham,BASE TABLE
EDU_NUCE,dbo,KT_TC_KeHoachThuTinChiTheoLop,BASE TABLE
EDU_NUCE,dbo,HT_HistoryMark,BASE TABLE
EDU_NUCE,dbo,DCMH_DotBienSoanChiTiet,BASE TABLE
EDU_NUCE,dbo,DT_HB_QuyPhanBoHocBong,BASE TABLE
EDU_NUCE,dbo,API_NhanSu_TempTableImport,BASE TABLE
EDU_NUCE,dbo,TKB_LichHocKhoaCapGiangVien,BASE TABLE
EDU_NUCE,dbo,DM_ThongSoHDDT,BASE TABLE
EDU_NUCE,dbo,HT_Table,BASE TABLE
EDU_NUCE,dbo,KTX_KhenThuongNoiTru,BASE TABLE
EDU_NUCE,dbo,KT_MienGiamHocPhi_TheoHanNop,BASE TABLE
EDU_NUCE,dbo,KT_KC_SiSoSinhVien,BASE TABLE
EDU_NUCE,dbo,TKB_CC_QuyUoc,BASE TABLE
EDU_NUCE,dbo,DT_PhanBoLopHocPhan,BASE TABLE
EDU_NUCE,dbo,DT_PhieuToDiemChiTiet,BASE TABLE
EDU_NUCE,dbo,TS_ThiSinhOnlineDiemMonThi,BASE TABLE
EDU_NUCE,dbo,ASC_TamUngFileAttachHoSoLienQuan,BASE TABLE
EDU_NUCE,dbo,EX_CauTrucDeThi,BASE TABLE
EDU_NUCE,dbo,DT_ApDungCauHinhXetHocBong,BASE TABLE
EDU_NUCE,dbo,Ward,BASE TABLE
EDU_NUCE,dbo,CC_ThongTinHocVien,BASE TABLE
EDU_NUCE,dbo,DT_ApDungCauHinhBangDiem,BASE TABLE
EDU_NUCE,dbo,KTX_NK_DangKyMienGiamTheoSoLuong,BASE TABLE
EDU_NUCE,dbo,HT_HoTroDuLieu,BASE TABLE
EDU_NUCE,dbo,DM_BHYT,BASE TABLE
EDU_NUCE,dbo,ACL_KhoaQuanLy,BASE TABLE
EDU_NUCE,dbo,DT_NhanSuNhanThongBaoTuiBaiThiPhanQuyen,BASE TABLE
EDU_NUCE,dbo,API_SinhVien_TempTableImport,BASE TABLE
EDU_NUCE,dbo,DM_ChuyenNganhChiTiet,BASE TABLE
EDU_NUCE,dbo,TKB_MonHoc,BASE TABLE
EDU_NUCE,dbo,DM_TinhChatMonHoc,BASE TABLE
EDU_NUCE,dbo,EX_CauTrucDeThiChiTietCauHoi,BASE TABLE
EDU_NUCE,dbo,DM_QuyDoiDiemTinChi,BASE TABLE
EDU_NUCE,dbo,DT_NK_CapNhatTongKetHocKyNamHoc,BASE TABLE
EDU_NUCE,dbo,KTX_KhoaDiemRenLuyen,BASE TABLE
EDU_NUCE,dbo,DCMH_ChiTietDeCuongKhungHocKy,BASE TABLE
EDU_NUCE,dbo,DT_GiangVienNhapDiem,BASE TABLE
EDU_NUCE,dbo,DT_DotTamNgungHocVuSinhVien,BASE TABLE
EDU_NUCE,dbo,NK_DS_IMP_KhaoThi_EPU,BASE TABLE
EDU_NUCE,dbo,DCMH_HocPhanBienSoan,BASE TABLE
EDU_NUCE,dbo,DTBD_TKB_LichThiGiangVien,BASE TABLE
EDU_NUCE,dbo,DT_QuyCheLenLop,BASE TABLE
EDU_NUCE,dbo,DT_KetNoiDoiTac_FileAttach,BASE TABLE
EDU_NUCE,dbo,TKB_LoaiThieuSot,BASE TABLE
EDU_NUCE,dbo,EX_CauTrucDeThiChiTiet,BASE TABLE
EDU_NUCE,dbo,EX_EXT_BaiThiThiSinh,BASE TABLE
EDU_NUCE,dbo,TKB_LichHoc,BASE TABLE
EDU_NUCE,dbo,DTBD_TN_DM_XepLoai,BASE TABLE
EDU_NUCE,dbo,NK_DanhSachChoGuiMail,BASE TABLE
EDU_NUCE,dbo,HT_ImportData,BASE TABLE
EDU_NUCE,dbo,NK_KT_KC_SiSoSinhVien,BASE TABLE
EDU_NUCE,dbo,NK_KC_Lemon_RevenueAllocation,BASE TABLE
EDU_NUCE,dbo,ACL_LoginSession,BASE TABLE
EDU_NUCE,dbo,KM_HeLoaiDaoTao,BASE TABLE
EDU_NUCE,dbo,DT_XacNhanBangDiemLHP,BASE TABLE
EDU_NUCE,dbo,DM_TrangThaiDangKyBieuMauDX,BASE TABLE
EDU_NUCE,dbo,EX_LoaiDeThi,BASE TABLE
EDU_NUCE,dbo,TKB_TamNgungLichHoc,BASE TABLE
EDU_NUCE,dbo,WardMapping,BASE TABLE
EDU_NUCE,dbo,KTX_KT_ChiTietDienNuocTieuThu,BASE TABLE
EDU_NUCE,dbo,CC_XepLoai,BASE TABLE
EDU_NUCE,dbo,DT_HanhKiemSinhVienTheoNamHoc,BASE TABLE
EDU_NUCE,dbo,TKB_LopXepLichHoc,BASE TABLE
EDU_NUCE,dbo,DGXL_PhanHoiDiemGhiNhan,BASE TABLE
EDU_NUCE,dbo,TKB_LoaiXinPhong,BASE TABLE
EDU_NUCE,dbo,EX_Chuong,BASE TABLE
EDU_NUCE,dbo,EX_NhomCauHoi,BASE TABLE
EDU_NUCE,dbo,DTBD_TN_HocVienTotNghiep,BASE TABLE
EDU_NUCE,dbo,DM_CauHinhExportDaNgonNgu,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_DangKyHocPhan,BASE TABLE
EDU_NUCE,dbo,TKB_LichThiGiangVien,BASE TABLE
EDU_NUCE,dbo,DM_NganHangThanhToanHocPhi_BaoKim,BASE TABLE
EDU_NUCE,dbo,HT_License,BASE TABLE
EDU_NUCE,dbo,OP_GiaoDichChoGachNo,BASE TABLE
EDU_NUCE,dbo,DCMH_PhanQuyenSoanThao,BASE TABLE
EDU_NUCE,dbo,NK_PhieuHuyHP,BASE TABLE
EDU_NUCE,dbo,DTBD_TKB_NhatKyTamNgungLichHoc,BASE TABLE
EDU_NUCE,dbo,NK_InTheSV,BASE TABLE
