"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH"
dbo,__MigrationLog,migration_id,uniqueidentifier,
dbo,__MigrationLog,script_checksum,nvarchar,64
dbo,__MigrationLog,script_filename,nvarchar,255
dbo,__MigrationLog,complete_dt,datetime2,
dbo,__MigrationLog,applied_by,nvarchar,100
dbo,__MigrationLog,deployed,tinyint,
dbo,__MigrationLog,version,varchar,255
dbo,__MigrationLog,package_version,varchar,255
dbo,__MigrationLog,release_version,varchar,255
dbo,__MigrationLog,sequence_no,int,
dbo,__MigrationLogCurrent,migration_id,uniqueidentifier,
dbo,__MigrationLogCurrent,script_checksum,nvarchar,64
dbo,__MigrationLogCurrent,script_filename,nvarchar,255
dbo,__MigrationLogCurrent,complete_dt,datetime2,
dbo,__MigrationLogCurrent,applied_by,nvarchar,100
dbo,__MigrationLogCurrent,deployed,tinyint,
dbo,__SchemaSnapshot,Snapshot,varbinary,-1
dbo,__SchemaSnapshot,LastUpdateDate,datetime2,
dbo,_DM_BangKyTu,Id,int,
dbo,_DM_BangKyTu,IDLoaiKyTu,int,
dbo,_DM_BangKyTu,BangKyTu,nvarchar,100
dbo,_DM_BangKyTu,GhiChu,nvarchar,200
dbo,_DM_BangKyTu,IsDelete,bit,
dbo,_DM_BangKyTu,NguoiTao,int,
dbo,_DM_BangKyTu,NgayTao,datetime,
dbo,_DM_BangKyTu,NguoiCapNhat,int,
dbo,_DM_BangKyTu,NgayCapNhat,datetime,
dbo,_DM_BangKyTu,DienGiaiCot,nvarchar,500
dbo,_DM_BangKyTu,STT,int,
dbo,_DM_DienUuTienTuyenSinh,Id,int,
dbo,_DM_DienUuTienTuyenSinh,MaDienUuTien,nvarchar,20
dbo,_DM_DienUuTienTuyenSinh,TenDienUuTien,nvarchar,400
dbo,_DM_DienUuTienTuyenSinh,NguoiTao,int,
dbo,_DM_DienUuTienTuyenSinh,NgayTao,datetime,
dbo,_DM_DienUuTienTuyenSinh,NguoiCapNhat,int,
dbo,_DM_DienUuTienTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_HanhKiemThiSinh,Id,int,
dbo,_DM_HanhKiemThiSinh,Ma,varchar,10
dbo,_DM_HanhKiemThiSinh,Ten,nvarchar,50
dbo,_DM_HanhKiemThiSinh,STT,int,
dbo,_DM_HanhKiemThiSinh,NguoiTao,int,
dbo,_DM_HanhKiemThiSinh,NgayTao,datetime,
dbo,_DM_HanhKiemThiSinh,NguoiCapNhat,int,
dbo,_DM_HanhKiemThiSinh,NgayCapNhat,datetime,
dbo,_DM_HanhKiemThiSinh,GhiChu,nvarchar,500
dbo,_DM_HinhThucNopHoSoOnline,Id,int,
dbo,_DM_HinhThucNopHoSoOnline,TenHinhThuc,nvarchar,100
dbo,_DM_HinhThucNopHoSoOnline,GhiChu,nvarchar,200
dbo,_DM_HinhThucNopHoSoOnline,IsVisible,bit,
dbo,_DM_HinhThucNopHoSoOnline,STT,int,
dbo,_DM_HinhThucNopHoSoOnline,NguoiTao,int,
dbo,_DM_HinhThucNopHoSoOnline,NgayTao,datetime,
dbo,_DM_HinhThucNopHoSoOnline,NguoiCapNhat,int,
dbo,_DM_HinhThucNopHoSoOnline,NgayCapNhat,datetime,
dbo,_DM_HocLucThiSinh,Id,int,
dbo,_DM_HocLucThiSinh,Ma,varchar,10
dbo,_DM_HocLucThiSinh,Ten,nvarchar,50
dbo,_DM_HocLucThiSinh,STT,int,
dbo,_DM_HocLucThiSinh,NguoiTao,int,
dbo,_DM_HocLucThiSinh,NgayTao,datetime,
dbo,_DM_HocLucThiSinh,NguoiCapNhat,int,
dbo,_DM_HocLucThiSinh,NgayCapNhat,datetime,
dbo,_DM_HocLucThiSinh,GhiChu,nvarchar,500
dbo,_DM_KhoiTuyenSinh,Id,int,
dbo,_DM_KhoiTuyenSinh,Khoi,nvarchar,200
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh1,int,
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh2,int,
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh3,int,
dbo,_DM_KhoiTuyenSinh,LanThi,int,
dbo,_DM_KhoiTuyenSinh,GhiChu,nvarchar,200
dbo,_DM_KhoiTuyenSinh,NguoiTao,int,
dbo,_DM_KhoiTuyenSinh,NgayTao,datetime,
dbo,_DM_KhoiTuyenSinh,NguoiCapNhat,int,
dbo,_DM_KhoiTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD1,nvarchar,20
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD2,nvarchar,20
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD3,nvarchar,20
dbo,_DM_LoaiKyTu,Id,int,
dbo,_DM_LoaiKyTu,MaLoaiKyTu,varchar,20
dbo,_DM_LoaiKyTu,TenLoaiKyTu,nvarchar,100
dbo,_DM_LoaiKyTu,GhiChu,nvarchar,200
dbo,_DM_LoaiKyTu,SoLuongTuTang,int,
dbo,_DM_LoaiKyTu,IsDelete,bit,
dbo,_DM_LoaiKyTu,NguoiTao,int,
dbo,_DM_LoaiKyTu,NgayTao,datetime,
dbo,_DM_LoaiKyTu,NguoiCapNhat,int,
dbo,_DM_LoaiKyTu,NgayCapNhat,datetime,
dbo,_DM_MapColumImport,Id,int,
dbo,_DM_MapColumImport,TenCotFileImport,nvarchar,100
dbo,_DM_MapColumImport,TenCotMap,nvarchar,100
dbo,_DM_MapColumImport,GhiChu,nvarchar,-1
dbo,_DM_MonThiTHPT,Id,int,
dbo,_DM_MonThiTHPT,MaMonThi,varchar,10
dbo,_DM_MonThiTHPT,TenMonThi,nvarchar,50
dbo,_DM_MonThiTHPT,STT,int,
dbo,_DM_MonThiTHPT,IsVisible,bit,
dbo,_DM_MonThiTHPT,NguoiTao,int,
dbo,_DM_MonThiTHPT,NgayTao,datetime,
dbo,_DM_MonThiTHPT,NguoiCapNhat,int,
dbo,_DM_MonThiTHPT,NgayCapNhat,datetime,
dbo,_DM_MonThiTuyenSinh,Id,int,
dbo,_DM_MonThiTuyenSinh,MaMonThi,varchar,10
dbo,_DM_MonThiTuyenSinh,TenMonThi,nvarchar,50
dbo,_DM_MonThiTuyenSinh,STT,int,
dbo,_DM_MonThiTuyenSinh,GhiChu,nvarchar,50
dbo,_DM_MonThiTuyenSinh,IsDelete,bit,
dbo,_DM_MonThiTuyenSinh,NguoiTao,int,
dbo,_DM_MonThiTuyenSinh,NgayTao,datetime,
dbo,_DM_MonThiTuyenSinh,NguoiCapNhat,int,
dbo,_DM_MonThiTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_MonThiTuyenSinh,NoiDungThi,nvarchar,500
dbo,_DM_MonThiTuyenSinh,MaMonThiBGD,varchar,10
dbo,_DM_PhanLoaiChiPhiKTX,Id,int,
dbo,_DM_PhanLoaiChiPhiKTX,TenPhanLoai,nvarchar,100
dbo,_DM_PhanLoaiChiPhiKTX,STT,int,
dbo,_DM_PhanLoaiChiPhiKTX,IsVisible,bit,
dbo,_DM_PhanLoaiChiPhiKTX,IDKhoanThu,int,
dbo,_DM_PhanLoaiChiPhiKTX,NguoiTao,int,
dbo,_DM_PhanLoaiChiPhiKTX,NgayTao,datetime,
dbo,_DM_PhanLoaiChiPhiKTX,NguoiCapNhat,int,
dbo,_DM_PhanLoaiChiPhiKTX,NgayCapNhat,datetime,
dbo,_DM_PhanLoaiChiPhiKTX,PhanTramVAT,decimal,
dbo,_DM_PhanLoaiChuyenLopTuDo,Id,int,
dbo,_DM_PhanLoaiChuyenLopTuDo,TenPhanLoai,nvarchar,100
dbo,_DM_PhanLoaiChuyenLopTuDo,GhiChu,nvarchar,200
dbo,_DM_PhanLoaiChuyenLopTuDo,NguoiTao,int,
dbo,_DM_PhanLoaiChuyenLopTuDo,NgayTao,datetime,
dbo,_DM_PhanLoaiChuyenLopTuDo,NguoiCapNhat,int,
dbo,_DM_PhanLoaiChuyenLopTuDo,NgayCapNhat,datetime,
dbo,_DM_PhanLoaiDoiTuongKTX,Id,int,
dbo,_DM_PhanLoaiDoiTuongKTX,TenPhanLoai,nvarchar,50
dbo,_DM_PhanLoaiDoiTuongKTX,STT,int,
dbo,_DM_PhanLoaiDoiTuongKTX,NguoiTao,int,
dbo,_DM_PhanLoaiDoiTuongKTX,NgayTao,datetime,
dbo,_DM_PhanLoaiDoiTuongKTX,NguoiCapNhat,int,
dbo,_DM_PhanLoaiDoiTuongKTX,NgayCapNhat,datetime,
dbo,_DM_PhanLoaiNoQuyetToan,Id,int,
dbo,_DM_PhanLoaiNoQuyetToan,PhanLoaiNoQuyetToan,nvarchar,50
dbo,_DM_PhanLoaiNoQuyetToan,NguoiTao,int,
dbo,_DM_PhanLoaiNoQuyetToan,NgayTao,datetime,
dbo,_DM_PhanLoaiNoQuyetToan,NguoiCapNhat,int,
dbo,_DM_PhanLoaiNoQuyetToan,NgayCapNhat,datetime,
dbo,_DM_PhanLoaiThiSinh,Id,int,
dbo,_DM_PhanLoaiThiSinh,TenPhanLoai,nvarchar,50
dbo,_DM_PhanLoaiThiSinh,STT,int,
dbo,_DM_PhanLoaiThiSinh,IsVisible,bit,
dbo,_DM_PhanLoaiThiSinh,NguoiTao,int,
dbo,_DM_PhanLoaiThiSinh,NgayTao,datetime,
dbo,_DM_PhanLoaiThiSinh,NguoiCapNhat,int,
dbo,_DM_PhanLoaiThiSinh,NgayCapNhat,datetime,
dbo,_DM_QuyDinhKyTu,Id,int,
dbo,_DM_QuyDinhKyTu,IDBangKyTu,int,
dbo,_DM_QuyDinhKyTu,IDKhoaChinh,int,
dbo,_DM_QuyDinhKyTu,KyTu,nvarchar,50
dbo,_DM_QuyDinhKyTu,GhiChu,nvarchar,200
dbo,_DM_QuyDinhKyTu,NguoiTao,int,
dbo,_DM_QuyDinhKyTu,NgayTao,datetime,
dbo,_DM_QuyDinhKyTu,NguoiCapNhat,int,
dbo,_DM_QuyDinhKyTu,NgayCapNhat,datetime,
dbo,_DM_QuyDinhKyTu,KyTu02,nvarchar,50
dbo,_DM_ReplaceText,Id,int,
dbo,_DM_ReplaceText,TimKiem,nvarchar,200
dbo,_DM_ReplaceText,LoaiTru,nvarchar,500
dbo,_DM_ReplaceText,ThayThe,nvarchar,200
dbo,_DM_ReplaceText,ControlType,nvarchar,200
dbo,_DM_ReplaceText,STT,int,
dbo,_DM_ReplaceText,IsDelete,bit,
dbo,_DM_ReplaceText,NguoiTao,int,
dbo,_DM_ReplaceText,NgayTao,datetime,
dbo,_DM_ReplaceText,NguoiCapNhat,int,
dbo,_DM_ReplaceText,NgayCapNhat,datetime,
dbo,_DM_ReplaceText,Nhom,int,
dbo,_DM_ReplaceText,ManHinhLoaiTru,nvarchar,500
dbo,_DM_ReplaceText,IsTimChinhXac,bit,
dbo,_DM_ThiSinhTotNghiep,Id,int,
dbo,_DM_ThiSinhTotNghiep,DaTotNghiep,nvarchar,50
dbo,_DM_ThiSinhTotNghiep,NguoiTao,int,
dbo,_DM_ThiSinhTotNghiep,NgayTao,datetime,
dbo,_DM_ThiSinhTotNghiep,NguoiCapNhat,int,
dbo,_DM_ThiSinhTotNghiep,NgayCapNhat,datetime,
dbo,_DM_ThiSinhTotNghiep,STT,int,
dbo,_DM_ThiSinhTotNghiep,IsVisible,bit,
dbo,_DM_ThiSinhTotNghiep,GhiChu,nvarchar,200
dbo,_DM_TieuChiTuyenSinh,Id,int,
dbo,_DM_TieuChiTuyenSinh,MaTieuChi,varchar,20
dbo,_DM_TieuChiTuyenSinh,TenTieuChi,nvarchar,200
dbo,_DM_TieuChiTuyenSinh,Fields,varchar,500
dbo,_DM_TieuChiTuyenSinh,CongThucTinhDiemTongCong,varchar,500
dbo,_DM_TieuChiTuyenSinh,CongThucTinhDiemXetTuyen,varchar,500
dbo,_DM_TieuChiTuyenSinh,StoreXetBoSung,varchar,500
dbo,_DM_TieuChiTuyenSinh,GhiChu,nvarchar,200
dbo,_DM_TieuChiTuyenSinh,STT,int,
dbo,_DM_TieuChiTuyenSinh,IsSuDung,bit,
dbo,_DM_TieuChiTuyenSinh,NguoiTao,int,
dbo,_DM_TieuChiTuyenSinh,NgayTao,datetime,
dbo,_DM_TieuChiTuyenSinh,NguoiCapNhat,int,
dbo,_DM_TieuChiTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_TieuChiTuyenSinh,StepLamTron,decimal,
dbo,_DM_TieuChiTuyenSinh,IDBieuMauGuiMail,int,
dbo,_DM_TieuChiTuyenSinh,PhanTramChiTieu,decimal,
dbo,_DM_TieuChiTuyenSinh,IDCachNhapDiem,int,
dbo,_DM_TieuChiTuyenSinh,DSIDHeDT,nvarchar,200
dbo,_DM_TieuChiTuyenSinh,DSIDLoaiHinhDT,nvarchar,200
dbo,_DM_TieuChiTuyenSinh,DSIDNganh,nvarchar,500
dbo,_DM_TieuChiTuyenSinh,IDBieuMauPhieuDK,int,
dbo,_DM_TieuChiTuyenSinh,IsSuDungDiemUuTien,bit,
dbo,_DM_TieuChiTuyenSinh,MaTieuChiBGD,nvarchar,20
dbo,_DM_TrangThaiBaoTri,Id,int,
dbo,_DM_TrangThaiBaoTri,TenTrangThai,nvarchar,50
dbo,_DM_TrangThaiBaoTri,NguoiTao,int,
dbo,_DM_TrangThaiBaoTri,NgayTao,datetime,
dbo,_DM_TrangThaiBaoTri,NguoiCapNhat,int,
dbo,_DM_TrangThaiBaoTri,NgayCapNhat,datetime,
dbo,_DM_TrangThaiHoSoThiSinh,Id,int,
dbo,_DM_TrangThaiHoSoThiSinh,TenTrangThai,nvarchar,100
dbo,_DM_TrangThaiHoSoThiSinh,GhiChu,nvarchar,200
dbo,_DM_TrangThaiHoSoThiSinh,IsVisible,bit,
dbo,_DM_TrangThaiHoSoThiSinh,STT,int,
dbo,_DM_TrangThaiHoSoThiSinh,NguoiTao,int,
dbo,_DM_TrangThaiHoSoThiSinh,NgayTao,datetime,
dbo,_DM_TrangThaiHoSoThiSinh,NguoiCapNhat,int,
dbo,_DM_TrangThaiHoSoThiSinh,NgayCapNhat,datetime,
dbo,_DM_TrangThaiHoSoThiSinh,IDMail,int,
dbo,_DM_TrangThaiSinhVienNghi,Id,int,
dbo,_DM_TrangThaiSinhVienNghi,TenTrangThai,nvarchar,100
dbo,_DM_TrangThaiSinhVienNghi,GhiChu,nvarchar,200
dbo,_DM_TrangThaiSinhVienNghi,IsVisible,bit,
dbo,_DM_TrangThaiSinhVienNghi,STT,int,
dbo,_DM_TrangThaiSinhVienNghi,NguoiTao,int,
dbo,_DM_TrangThaiSinhVienNghi,NgayTao,datetime,
dbo,_DM_TrangThaiSinhVienNghi,NguoiCapNhat,int,
dbo,_DM_TrangThaiSinhVienNghi,NgayCapNhat,datetime,
dbo,_DM_TrangThaiSinhVienNghi,IDTrangThaiSV,int,
dbo,_DM_TrangThaiTamNgung,Id,int,
dbo,_DM_TrangThaiTamNgung,TrangThaiTamNgung,nvarchar,100
dbo,_DM_TrangThaiTamNgung,STT,int,
dbo,_DM_TrangThaiTamNgung,NguoiTao,int,
dbo,_DM_TrangThaiTamNgung,NgayTao,datetime,
dbo,_DM_TrangThaiTamNgung,NguoiCapNhat,int,
dbo,_DM_TrangThaiTamNgung,NgayCapNhat,datetime,
dbo,_DM_TrangThaiXetTotNghiep,Id,int,
dbo,_DM_TrangThaiXetTotNghiep,TrangThai,nvarchar,50
dbo,_DM_TrangThaiXetTotNghiep,NguoiTao,int,
dbo,_DM_TrangThaiXetTotNghiep,NgayTao,datetime,
dbo,_DM_TrangThaiXetTotNghiep,NguoiCapNhat,int,
dbo,_DM_TrangThaiXetTotNghiep,NgayCapNhat,datetime,
dbo,_DM_TS_NhomNganhTapTrung,Id,int,
dbo,_DM_TS_NhomNganhTapTrung,IDNganh,int,
dbo,_DM_TS_NhomNganhTapTrung,NhomNganh,int,
dbo,_DM_TS_NhomNganhTapTrung,GhiChu,nvarchar,200
dbo,_DM_TS_NhomNganhTapTrung,NguoiTao,int,
dbo,_DM_TS_NhomNganhTapTrung,NgayTao,datetime,
dbo,_DM_TS_NhomNganhTapTrung,NguoiCapNhat,int,
dbo,_DM_TS_NhomNganhTapTrung,NgayCapNhat,datetime,
dbo,_DM_TS_NhomNganhTapTrung,TuNgayTapTrung,datetime,
dbo,_DM_TS_NhomNganhTapTrung,DenNgayTapTrung,datetime,
dbo,_DM_TS_NhomNganhTapTrung,DiaDiemTapTrung,nvarchar,500
dbo,_DM_TS_NhomNganhTapTrung,IDTuyenSinh,int,
dbo,_DM_TS_NhomNganhTapTrung,TuSiSo,int,
dbo,_DM_TS_NhomNganhTapTrung,DenSiSo,int,
dbo,_DM_TS_NhomNganhTapTrung,ThoiGian,nvarchar,200
dbo,_DM_TS_NhomNganhTapTrung,NamTuyenSinh,int,
dbo,_DM_TuDienHeThong,Id,int,
dbo,_DM_TuDienHeThong,TuKhoa,varchar,100
dbo,_DM_TuDienHeThong,VIE,nvarchar,200
dbo,_DM_TuDienHeThong,ENG,nchar,10
dbo,_DM_TuDienHeThong,GhiChu,nvarchar,200
dbo,_DM_TuDienHeThong,NguoiTao,int,
dbo,_DM_TuDienHeThong,NgayTao,datetime,
dbo,_DM_TuDienHeThong,NguoiCapNhat,int,
dbo,_DM_TuDienHeThong,NgayCapNhat,datetime,
dbo,_DM_Web,Id,int,
dbo,_DM_Web,TenThongSo,nvarchar,100
dbo,_DM_Web,MaThongSo,varchar,50
dbo,_DM_Web,GiaTri,nvarchar,500
dbo,_DM_Web,DieuKien,nvarchar,500
dbo,_DM_Web,SapXep,nvarchar,500
dbo,_DM_Web,NguoiTao,int,
dbo,_DM_Web,NgayTao,datetime,
dbo,_DM_Web,NguoiCapNhat,int,
dbo,_DM_Web,NgayCapNhat,datetime,
dbo,_DM_XepLoaiTotNghiep,Id,int,
dbo,_DM_XepLoaiTotNghiep,Ma,varchar,10
dbo,_DM_XepLoaiTotNghiep,Ten,nvarchar,50
dbo,_DM_XepLoaiTotNghiep,STT,int,
dbo,_DM_XepLoaiTotNghiep,NguoiTao,int,
dbo,_DM_XepLoaiTotNghiep,NgayTao,datetime,
dbo,_DM_XepLoaiTotNghiep,NguoiCapNhat,int,
dbo,_DM_XepLoaiTotNghiep,NgayCapNhat,datetime,
dbo,ACL_ChucNangHT,Id,int,
dbo,ACL_ChucNangHT,MaChucNang,nvarchar,50
dbo,ACL_ChucNangHT,TenChucNang,nvarchar,200
dbo,ACL_ChucNangHT,ThamSo,nvarchar,50
dbo,ACL_ChucNangHT,IDChucNangCha,int,
dbo,ACL_ChucNangHT,IDHeThong,int,
dbo,ACL_ChucNangHT,Xem,bit,
dbo,ACL_ChucNangHT,Them,bit,
dbo,ACL_ChucNangHT,Sua,bit,
dbo,ACL_ChucNangHT,Xoa,bit,
dbo,ACL_ChucNangHT,IsButtonPQ,bit,
dbo,ACL_ChucNangHT,STT,int,
dbo,ACL_ChucNangHT,NguoiTao,int,
dbo,ACL_ChucNangHT,NgayTao,datetime,
dbo,ACL_ChucNangHT,NguoiCapNhat,int,
dbo,ACL_ChucNangHT,NgayCapNhat,datetime,
dbo,ACL_ChucNangHT,GhiChu,nvarchar,200
dbo,ACL_ChucNangHT,QuyenThietBi,int,
dbo,ACL_ChucNangHT,IdShowFormType,int,
dbo,ACL_ChucNangHT,HDSDPath,nvarchar,500
dbo,ACL_DonViLienKet,Id,int,
dbo,ACL_DonViLienKet,IDNhanSu,int,
dbo,ACL_DonViLienKet,IDDonViLienKet,int,
dbo,ACL_DonViLienKet,NguoiTao,int,
dbo,ACL_DonViLienKet,NgayTao,datetime,
dbo,ACL_DonViLienKet,NguoiCapNhat,int,
dbo,ACL_DonViLienKet,NgayCapNhat,datetime,
dbo,ACL_HienThiChucNang,Id,int,
dbo,ACL_HienThiChucNang,IDNhanSu,int,
dbo,ACL_HienThiChucNang,IDChucNang,int,
dbo,ACL_HienThiChucNang,IdShowFormType,int,
dbo,ACL_HienThiChucNang,GhiChu,nvarchar,500
dbo,ACL_HienThiChucNang,NguoiTao,int,
dbo,ACL_HienThiChucNang,NgayTao,datetime,
dbo,ACL_HienThiChucNang,NguoiCapNhat,int,
dbo,ACL_HienThiChucNang,NgayCapNhat,datetime,
dbo,ACL_KhoaQuanLy,IDKhoaQuanLy,int,
dbo,ACL_KhoaQuanLy,IDHeThong,int,
dbo,ACL_KhoaQuanLy,IDNhanSu,int,
dbo,ACL_KhoaQuanLy,IDPhongBan,int,
dbo,ACL_KhoaQuanLy,NguoiTao,int,
dbo,ACL_KhoaQuanLy,NgayTao,datetime,
dbo,ACL_KhoaQuanLy,NguoiCapNhat,int,
dbo,ACL_KhoaQuanLy,NgayCapNhat,datetime,
dbo,ACL_LoginSession,Id,int,
dbo,ACL_LoginSession,SESSID,varchar,100
dbo,ACL_LoginSession,IDHeThong,int,
dbo,ACL_LoginSession,IDNhanSu,int,
dbo,ACL_LoginSession,MaNhanSu,nvarchar,50
dbo,ACL_LoginSession,HoTen,nvarchar,100
dbo,ACL_LoginSession,IDPhongBan,int,
dbo,ACL_LoginSession,PhongBan,nvarchar,200
dbo,ACL_LoginSession,IsLogOut,bit,
dbo,ACL_LoginSession,DateIn,datetime,
dbo,ACL_LoginSession,DateOut,datetime,
dbo,ACL_LoginSession,DateKeepAlive,datetime,
dbo,ACL_LoginSession,HostName,nvarchar,200
dbo,ACL_LoginSession,HostAddress,varchar,200
dbo,ACL_LoginSession,PhysicalAddress,varchar,200
dbo,ACL_LoginSession,OSVersion,nvarchar,100
dbo,ACL_LoginSession,OSName,nvarchar,100
dbo,ACL_LoginSession,NguoiTao,int,
dbo,ACL_LoginSession,NgayTao,datetime,
dbo,ACL_LoginSession,NguoiCapNhat,int,
dbo,ACL_LoginSession,NgayCapNhat,datetime,
dbo,ACL_LoginSessionDetail,Id,int,
dbo,ACL_LoginSessionDetail,SESSID,varchar,100
dbo,ACL_LoginSessionDetail,ActionCode,nvarchar,100
dbo,ACL_LoginSessionDetail,ActionName,nvarchar,200
dbo,ACL_LoginSessionDetail,IsSubAction,bit,
dbo,ACL_LoginSessionDetail,NguoiTao,int,
dbo,ACL_LoginSessionDetail,NgayTao,datetime,
dbo,ACL_LoginSessionDetail,NguoiCapNhat,int,
dbo,ACL_LoginSessionDetail,NgayCapNhat,datetime,
dbo,ACL_Module,IDModule,int,
dbo,ACL_Module,MaModule,nvarchar,50
dbo,ACL_Module,TenModule,nvarchar,200
dbo,ACL_Module,IDModuleThamChieu,int,
dbo,ACL_Module,LoaiModule,int,
dbo,ACL_Module,Xem,bit,
dbo,ACL_Module,Them,bit,
dbo,ACL_Module,Sua,bit,
dbo,ACL_Module,Xoa,bit,
dbo,ACL_Module,HanhDong,bit,
dbo,ACL_Module,IDHeThong,int,
dbo,ACL_Module,NgayCapNhat,datetime,
dbo,ACL_Module,NgayTao,datetime,
dbo,ACL_Module,NguoiCapNhat,int,
dbo,ACL_Module,NguoiTao,int,
dbo,ACL_Module,SoThuTu,int,
dbo,ACL_NhatKyHT,Id,int,
dbo,ACL_NhatKyHT,IDPhanQuyen,int,
dbo,ACL_NhatKyHT,IDChucNang,int,
dbo,ACL_NhatKyHT,IDNhom,int,
dbo,ACL_NhatKyHT,Xem,bit,
dbo,ACL_NhatKyHT,Them,bit,
dbo,ACL_NhatKyHT,Sua,bit,
dbo,ACL_NhatKyHT,Xoa,bit,
dbo,ACL_NhatKyHT,ChoPhep,bit,
dbo,ACL_NhatKyHT,NguoiPhanQuyen,int,
dbo,ACL_NhatKyHT,NgayPhanQuyen,datetime,
dbo,ACL_NhatKyHT,NguoiCapNhatPhanQuyen,int,
dbo,ACL_NhatKyHT,NgayCapNhatPhanQuyen,datetime,
dbo,ACL_NhatKyHT,MaChucNang,nvarchar,50
dbo,ACL_NhatKyHT,TenChucNang,nvarchar,200
dbo,ACL_NhatKyHT,ThamSo,nvarchar,50
dbo,ACL_NhatKyHT,IDChucNangCha,int,
dbo,ACL_NhatKyHT,IDHeThong,int,
dbo,ACL_NhatKyHT,xXem,bit,
dbo,ACL_NhatKyHT,xThem,bit,
dbo,ACL_NhatKyHT,xSua,bit,
dbo,ACL_NhatKyHT,xXoa,bit,
dbo,ACL_NhatKyHT,IsButtonPQ,bit,
dbo,ACL_NhatKyHT,STT,int,
dbo,ACL_NhatKyHT,NguoiTaoChucNang,int,
dbo,ACL_NhatKyHT,NgayTaoChucNang,datetime,
dbo,ACL_NhatKyHT,NguoiCapNhatChucNang,int,
dbo,ACL_NhatKyHT,NgayCapNhatChucNang,datetime,
dbo,ACL_NhatKyHT,IDNhomCha,int,
dbo,ACL_NhatKyHT,TenNhom,nvarchar,100
dbo,ACL_NhatKyHT,IsNhanSu,bit,
dbo,ACL_NhatKyHT,IsNhanSuNgoaiHT,bit,
dbo,ACL_NhatKyHT,IDNhanSu,int,
dbo,ACL_NhatKyHT,MaNhanSu,nvarchar,50
dbo,ACL_NhatKyHT,GioiTinh,bit,
dbo,ACL_NhatKyHT,NgaySinh,nvarchar,20
dbo,ACL_NhatKyHT,IDKhoa,int,
dbo,ACL_NhatKyHT,IsChamDutHopDong,bit,
dbo,ACL_NhatKyHT,IsNotAllowLogin,bit,
dbo,ACL_NhatKyHT,NguoiTaoNhom,int,
dbo,ACL_NhatKyHT,NgayTaoNhom,datetime,
dbo,ACL_NhatKyHT,NguoiCapNhatNhom,int,
dbo,ACL_NhatKyHT,NgayCapNhatNhom,datetime,
dbo,ACL_NhatKyHT,TrangThai,tinyint,
dbo,ACL_NhatKyHT,NguoiTao,int,
dbo,ACL_NhatKyHT,NgayTao,datetime,
dbo,ACL_NhatKyHT,NguoiCapNhat,int,
dbo,ACL_NhatKyHT,NgayCapNhat,datetime,
dbo,ACL_NhomHT,Id,int,
dbo,ACL_NhomHT,IDNhomCha,int,
dbo,ACL_NhomHT,TenNhom,nvarchar,100
dbo,ACL_NhomHT,IDHeThong,int,
dbo,ACL_NhomHT,IsNhanSu,bit,
dbo,ACL_NhomHT,IsNhanSuNgoaiHT,bit,
dbo,ACL_NhomHT,IDNhanSu,int,
dbo,ACL_NhomHT,MaNhanSu,nvarchar,50
dbo,ACL_NhomHT,GioiTinh,bit,
dbo,ACL_NhomHT,NgaySinh,nvarchar,20
dbo,ACL_NhomHT,IDKhoa,int,
dbo,ACL_NhomHT,IsChamDutHopDong,bit,
dbo,ACL_NhomHT,IsNotAllowLogin,bit,
dbo,ACL_NhomHT,NguoiTao,int,
dbo,ACL_NhomHT,NgayTao,datetime,
dbo,ACL_NhomHT,NguoiCapNhat,int,
dbo,ACL_NhomHT,NgayCapNhat,datetime,
dbo,ACL_NhomNguoiDung,IDNhom,int,
dbo,ACL_NhomNguoiDung,KhoaChinh,int,
dbo,ACL_NhomNguoiDung,IDNhomThamChieu,int,
dbo,ACL_NhomNguoiDung,Ten,nvarchar,50
dbo,ACL_NhomNguoiDung,GioiTinh,bit,
dbo,ACL_NhomNguoiDung,MaNhanSu,nvarchar,50
dbo,ACL_NhomNguoiDung,IDHeThong,int,
dbo,ACL_NhomNguoiDung,NgayCapNhat,datetime,
dbo,ACL_NhomNguoiDung,NgaySinh,datetime,
dbo,ACL_NhomNguoiDung,NgayTao,datetime,
dbo,ACL_NhomNguoiDung,NguoiCapNhat,int,
dbo,ACL_NhomNguoiDung,NguoiDung,bit,
dbo,ACL_NhomNguoiDung,NguoiTao,int,
dbo,ACL_PhanQuyen,IDPhanQuyen,int,
dbo,ACL_PhanQuyen,IDModule,int,
dbo,ACL_PhanQuyen,IDNhomNguoiDung,int,
dbo,ACL_PhanQuyen,Xem,bit,
dbo,ACL_PhanQuyen,Them,bit,
dbo,ACL_PhanQuyen,Xoa,bit,
