"FunctionName","FunctionType","create_date","modify_date"
Fn_GetSoThuTuDot,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.660,2023-04-05 23:08:34.577
Fn_GetSoTienDaNopDKHP,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.687,2023-04-05 23:08:34.577
Fn_GetSoTienDaNopDKT,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.700,2023-04-05 23:08:34.577
Fn_GetSoTinChiCTK,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.720,2024-10-09 16:16:20.427
Fn_GetSystemConfig,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.740,2023-04-05 23:08:34.580
Fn_GetTableId,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.763,2023-04-05 23:08:34.580
Fn_GetTableXepLoaiTC_NC,SQL_TABLE_VALUED_FUNCTION,2021-06-01 18:39:31.840,2023-03-24 18:13:26.527
Fn_GetTableXepLoaiTNNienCheTinChi,SQL_TABLE_VALUED_FUNCTION,2021-06-01 18:39:33.493,2021-06-01 18:39:33.500
Fn_GetTableXepLoaiTotNghiepTC,SQL_TABLE_VALUED_FUNCTION,2023-08-24 18:16:14.477,2023-10-02 17:41:08.167
Fn_GetTenDotHienHanh,SQL_SCALAR_FUNCTION,2019-02-25 14:57:48.970,2023-04-05 23:08:34.600
Fn_GetTenLoaiLopHocPhan,SQL_SCALAR_FUNCTION,2018-06-02 08:57:35.480,2023-04-05 23:08:34.640
Fn_GetTenLoaiThi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.787,2023-04-05 23:08:34.580
Fn_GetTenMonHocCTK,SQL_SCALAR_FUNCTION,2018-01-25 14:38:40.990,2026-02-25 18:57:36.407
Fn_GetTenMonTheoDsID,SQL_SCALAR_FUNCTION,2019-02-25 14:58:21.997,2023-04-05 23:08:34.633
Fn_GetTenNSTheoDsID,SQL_SCALAR_FUNCTION,2021-08-09 18:11:34.290,2023-04-05 23:08:34.640
Fn_GetTenTinhHuyenXa,SQL_SCALAR_FUNCTION,2020-05-14 14:26:28.900,2025-11-05 16:29:10.270
Fn_GetTenTrangThaiDeXuat,SQL_SCALAR_FUNCTION,2021-01-16 10:38:57.600,2025-07-09 17:41:04.793
Fn_GetTenTrangThaiDeXuatHSSV,SQL_SCALAR_FUNCTION,2021-08-09 18:11:34.323,2025-04-21 15:48:05.093
Fn_GetTenTrangThaiDeXuatHSTSTT,SQL_SCALAR_FUNCTION,2021-09-05 21:55:41.300,2023-04-05 23:08:34.573
Fn_GetTenTuan,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.817,2023-04-05 23:08:34.580
Fn_GetTextFromFirstStringData,SQL_SCALAR_FUNCTION,2025-07-09 17:41:04.657,2025-07-09 17:41:04.657
Fn_GetTextFromStringData,SQL_SCALAR_FUNCTION,2025-06-18 14:50:39.230,2025-06-18 14:50:39.230
Fn_GetTextGioiTinh,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.837,2023-04-05 23:08:34.580
Fn_GetThoiGianDaoTao,SQL_TABLE_VALUED_FUNCTION,2025-08-04 16:30:06.343,2026-01-14 16:57:29.763
Fn_GetThoiGianKeHoachSinhVien,SQL_SCALAR_FUNCTION,2024-04-03 14:58:40.733,2025-08-04 16:30:06.457
Fn_GetThongTinTaiKhoan,SQL_SCALAR_FUNCTION,2023-03-07 17:32:35.990,2025-11-19 16:47:42.103
Fn_GetThuTrongTuan,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.853,2023-04-05 23:08:34.583
Fn_GetTietHocKhongTrung,SQL_TABLE_VALUED_FUNCTION,2019-02-25 14:58:22.077,2019-02-25 14:58:22.087
Fn_GetTinhByTen,SQL_SCALAR_FUNCTION,2023-04-24 17:32:24.897,2023-04-24 17:32:24.900
Fn_GetTKBConfig,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.870,2023-04-05 23:08:34.587
Fn_GetTongDuNoHocVienDTBD,SQL_SCALAR_FUNCTION,2019-08-09 11:49:24.110,2023-04-05 23:08:34.570
Fn_GetTongDuNoSinhVien,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.890,2023-11-08 14:48:30.330
Fn_GetTongDuNoSinhVienTheoTinhChat,SQL_TABLE_VALUED_FUNCTION,2023-02-15 17:51:25.547,2025-11-05 16:29:10.297
Fn_GetTongTietDayLichHoc,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.907,2023-04-05 23:08:34.590
Fn_GetTop2Diem4HK,SQL_SCALAR_FUNCTION,2020-05-14 14:26:29.000,2023-04-05 23:08:34.583
Fn_GetTop3Diem6HK_BVU,SQL_SCALAR_FUNCTION,2021-01-16 10:38:57.747,2023-04-05 23:08:34.607
Fn_GetTrangThaiSinhVienGoc,SQL_SCALAR_FUNCTION,2020-04-06 11:23:48.373,2023-04-05 23:08:34.620
Fn_GetUniversity,SQL_SCALAR_FUNCTION,2018-01-25 14:38:34.667,2023-04-05 23:08:34.660
Fn_GetValueNullOrEmpty,SQL_SCALAR_FUNCTION,2023-03-07 17:31:08.170,2023-04-05 23:08:34.603
Fn_GetWeekNumberOfMonth,SQL_SCALAR_FUNCTION,2025-01-08 14:54:40.947,2025-01-08 14:54:40.947
FN_GetWhereSelectNhanSuHrm,SQL_SCALAR_FUNCTION,2024-07-11 17:09:58.357,2024-07-11 17:09:58.357
Fn_GetXepLoaiByIndex,SQL_SCALAR_FUNCTION,2018-01-25 14:38:48.940,2023-04-05 23:08:34.590
Fn_GetXepLoaiTC_NC,SQL_SCALAR_FUNCTION,2019-10-25 08:57:34.763,2023-04-05 23:08:34.570
Fn_GetXepLoaiTNNienCheTinChi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.023,2023-04-05 23:08:34.593
FN_GhepLopDSLichHoc,SQL_TABLE_VALUED_FUNCTION,2018-01-25 14:38:49.050,2018-01-25 14:38:49.060
Fn_HashMD5,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.080,2023-04-05 23:08:34.593
Fn_HDDT_TableInvoiceStatus,SQL_TABLE_VALUED_FUNCTION,2022-08-01 19:16:47.207,2022-10-13 17:48:09.030
Fn_HDDT_TableSignStatus,SQL_TABLE_VALUED_FUNCTION,2022-08-01 19:16:47.213,2022-08-05 17:21:37.910
Fn_HPGN_GetDanhSachLopHocPhanByIDDot,SQL_TABLE_VALUED_FUNCTION,2023-03-07 17:31:07.493,2024-10-09 16:16:20.547
Fn_HPGN_GetLopHocPhanByIDDot,SQL_TABLE_VALUED_FUNCTION,2023-03-07 17:31:07.407,2024-10-09 16:16:20.527
Fn_HPGN_GetLopHocPhanMienGiamByIDDot,SQL_TABLE_VALUED_FUNCTION,2023-06-27 17:50:21.397,2024-10-09 16:16:20.470
Fn_HUCEGetSiSoDangKy,SQL_SCALAR_FUNCTION,2024-02-19 10:52:48.447,2024-02-19 10:52:48.447
Fn_InitCap,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.107,2023-04-05 23:08:34.593
Fn_InnerDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.123,2023-04-05 23:08:34.593
Fn_InnerPeriod,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.140,2023-04-05 23:08:34.597
Fn_IntersecDateNullableCommpareDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.153,2023-04-05 23:08:34.597
Fn_IntersectDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:39.790,2023-04-05 23:08:34.617
Fn_IntersectPeriod,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.163,2023-04-05 23:08:34.597
Fn_IntToRoman,SQL_SCALAR_FUNCTION,2025-12-17 16:56:06.733,2025-12-17 16:56:06.733
Fn_IsCoSoXepLich,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.177,2023-04-05 23:08:34.597
Fn_IsDaChi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:40.087,2023-04-05 23:08:34.640
Fn_IsDuKienThuCoDongPhi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.193,2023-04-05 23:08:34.597
Fn_IsDuKienThuDaChi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.217,2023-04-05 23:08:34.600
Fn_IsExistCode,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.230,2023-04-05 23:08:34.600
Fn_IsGiangVienTamNgung,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.247,2023-04-05 23:08:34.600
Fn_IsGiangVienTrong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.270,2023-04-05 23:08:34.600
Fn_IsHanCheThaoTac,SQL_SCALAR_FUNCTION,2021-06-01 18:39:37.057,2023-04-05 23:08:34.597
Fn_IsKhoaCungCoSo,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.287,2023-04-05 23:08:34.600
Fn_IsLichHocLegal,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.303,2023-04-05 23:08:34.600
Fn_IsLichHocTamNgung,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.317,2023-04-05 23:08:34.603
Fn_IsLichHocTrong_LichThi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.337,2023-04-05 23:08:34.603
Fn_IsLichHocTrung,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.367,2023-04-05 23:08:34.607
Fn_IsLichThiLegal,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.390,2023-04-05 23:08:34.607
Fn_IsLichThiTrung,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.407,2023-04-05 23:08:34.607
Fn_IsLopHocPhanHasLichHoc,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.423,2023-04-05 23:08:34.610
Fn_IsMonHocPhanCoMoLop,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.443,2024-10-09 16:16:20.553
Fn_IsSHCN,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.463,2023-04-05 23:08:34.610
Fn_IsSinhVienDauOrDangHocLopHocPhan,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.480,2023-04-05 23:08:34.610
Fn_IsSVDuocPhepDangKyThiLai,SQL_SCALAR_FUNCTION,2020-04-06 11:24:20.337,2026-01-14 16:57:29.747
Fn_IsTinChiChoPhepThiLai,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.497,2023-04-05 23:08:34.610
Fn_IsTinChiChoPhepThiLai2,SQL_SCALAR_FUNCTION,2019-12-20 15:30:49.720,2023-04-05 23:08:34.667
Fn_JoinDateWithTime,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.520,2023-04-05 23:08:34.613
Fn_KiemTraMonHocPhanRangBuoc,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.553,2024-10-09 16:16:20.490
Fn_KiemTraTrangThaiDangHocSV,SQL_SCALAR_FUNCTION,2018-01-25 14:38:39.227,2024-10-30 11:25:50.253
Fn_KS_GetTreePathByNode,SQL_SCALAR_FUNCTION,2022-01-12 18:25:23.837,2025-01-08 14:54:40.970
Fn_KS_GetTreePathFromIDCauHoi,SQL_SCALAR_FUNCTION,2022-01-14 14:40:38.717,2023-04-05 23:08:34.593
Fn_KT_GetDanhSachDuKienThuByKHTCTL,SQL_TABLE_VALUED_FUNCTION,2025-01-08 14:54:40.960,2025-01-08 14:54:40.960
FN_KT_GetDonGiaHocPhi,SQL_TABLE_VALUED_FUNCTION,2022-07-11 18:47:18.430,2024-07-11 17:09:58.530
FN_KT_GetGiaTriNopTuongUngTyLeMGCK,SQL_SCALAR_FUNCTION,2023-07-19 17:46:25.353,2023-07-19 17:46:25.357
Fn_KT_GetKhoanMucMienGiam,SQL_SCALAR_FUNCTION,2022-08-01 19:16:51.180,2023-04-05 23:08:34.687
Fn_KT_GetLoaiNghiepVuPhanBo,SQL_SCALAR_FUNCTION,2022-08-01 19:16:51.183,2024-12-18 16:53:45.420
Fn_KT_GetMaDongBo,SQL_SCALAR_FUNCTION,2022-07-15 17:46:28.867,2023-04-05 23:08:34.613
Fn_KT_GetMienGiamDatCocByIDThiSinh,SQL_TABLE_VALUED_FUNCTION,2023-03-24 18:13:27.240,2024-07-11 17:09:58.560
Fn_KT_GetMienGiamNhapHoc,SQL_TABLE_VALUED_FUNCTION,2019-12-20 15:30:49.370,2025-07-18 16:43:01.687
Fn_KT_GetMienGiamNhapHoc_TSOnline,SQL_TABLE_VALUED_FUNCTION,2023-05-23 17:41:11.567,2025-07-18 16:43:01.660
Fn_KT_GetMienGiamNhapHocMultiNganh,SQL_TABLE_VALUED_FUNCTION,2020-04-06 11:24:20.407,2025-07-18 16:43:01.753
Fn_KT_GetMienGiamNhapHocTheoHanNop,SQL_TABLE_VALUED_FUNCTION,2021-06-01 18:39:38.187,2024-10-09 16:16:20.570
FN_KT_GetTienMienGiamOrChietKhau,SQL_SCALAR_FUNCTION,2023-07-19 17:46:22.237,2023-07-19 17:46:22.240
Fn_KT_GetUrlHDDT,SQL_SCALAR_FUNCTION,2019-08-09 11:55:44.623,2023-04-05 23:08:34.570
Fn_KT_MienGiamNhapHoc_HocPhiNhapHoc,SQL_TABLE_VALUED_FUNCTION,2025-07-18 16:43:01.573,2025-07-18 16:43:01.573
Fn_KT_MienGiamNhapHoc_TyLeMienGiam,SQL_TABLE_VALUED_FUNCTION,2025-07-18 16:43:01.603,2025-07-18 16:43:01.603
Fn_KT_SubIdKeHoachThuChungTheoLop,SQL_SCALAR_FUNCTION,2025-01-08 14:54:40.937,2025-01-08 14:54:40.937
FN_KT_TinhHocPhiTinChi,SQL_SCALAR_FUNCTION,2022-07-11 18:47:17.670,2023-04-05 23:08:34.650
Fn_KT_TinhPhanTramNopHocPhi,SQL_SCALAR_FUNCTION,2022-08-25 17:41:21.470,2024-07-11 17:09:58.570
Fn_KT_TinhSoTienDaChi,SQL_SCALAR_FUNCTION,2023-01-04 17:37:34.480,2023-04-05 23:08:34.680
Fn_KT_TinhSoTienDaPhanBo,SQL_SCALAR_FUNCTION,2022-08-15 18:53:18.357,2023-12-06 14:41:28.543
Fn_KT_TinhSoTienDaThu,SQL_SCALAR_FUNCTION,2023-01-04 17:37:34.487,2023-04-05 23:08:34.680
Fn_KTX_GetDotTheoThangNam,SQL_SCALAR_FUNCTION,2019-02-25 14:58:22.153,2023-04-05 23:08:34.643
Fn_KTX_GetTongCongNo,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.593,2023-10-02 17:41:10.207
Fn_KTX_GetTongDuNoNguoiO,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.610,2023-04-05 23:08:34.617
Fn_KTX_GetTongDuNoPhong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.630,2024-07-11 17:09:58.423
Fn_KTX_GetTongTamThuDaNopByNgayDK,SQL_SCALAR_FUNCTION,2025-09-17 16:16:24.813,2025-09-17 16:16:24.813
Fn_KTX_GetTongTienDaDongNguoiO,SQL_SCALAR_FUNCTION,2023-11-08 14:48:36.003,2023-11-08 14:48:36.007
Fn_KTX_GetTrangThaiDangKyNoiTru,SQL_SCALAR_FUNCTION,2023-12-06 14:41:35.417,2023-12-06 14:41:35.417
Fn_KTX_KiemTraDangKyNoiTru,SQL_SCALAR_FUNCTION,2023-12-06 14:41:35.420,2023-12-06 14:41:35.420
FN_KTX_TimGiuongTrongByPhong,SQL_SCALAR_FUNCTION,2025-10-22 22:28:35.740,2025-10-22 22:28:35.740
Fn_KTX_TinhCongNoNoiTru,SQL_SCALAR_FUNCTION,2019-08-09 11:49:39.707,2023-04-05 23:08:34.570
Fn_KTX_TinhPhiDieuChuyenCuDaNop,SQL_SCALAR_FUNCTION,2025-10-24 09:42:40.280,2025-10-24 09:42:40.280
Fn_KTX_TinhPhiDieuChuyenDaNop,SQL_SCALAR_FUNCTION,2025-09-17 16:16:24.817,2025-09-17 16:16:24.817
Fn_KTX_TinhSoTienDaNop,SQL_SCALAR_FUNCTION,2019-11-14 17:47:42.280,2023-04-05 23:08:34.587
Fn_LamTronDiemByStep,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.650,2023-04-05 23:08:34.620
Fn_LamTronDiemXetTuyen,SQL_SCALAR_FUNCTION,2020-09-17 09:35:17.600,2023-04-05 23:08:34.690
Fn_LastIndexOf,SQL_SCALAR_FUNCTION,2019-02-25 14:58:22.197,2023-04-05 23:08:34.647
